Date,Abs_Ret,Realized_Ret,SvOLHC,SvOLHC_n10,sGARCH_norm_mu,sGARCH_norm_sigma,sGARCH_std_mu,sGARCH_std_sigma,sGARCH_std_skew,sGARCH_std_shape,sGARCH_sstd_mu,sGARCH_sstd_sigma,sGARCH_sstd_skew,sGARCH_sstd_shape,eGARCH_norm_mu,eGARCH_norm_sigma,eGARCH_std_mu,eGARCH_std_sigma,eGARCH_std_skew,eGARCH_std_shape,eGARCH_sstd_mu,eGARCH_sstd_sigma,eGARCH_sstd_skew,eGARCH_sstd_shape,gjrGARCH_norm_mu,gjrGARCH_norm_sigma,gjrGARCH_std_mu,gjrGARCH_std_sigma,gjrGARCH_std_skew,gjrGARCH_std_shape,gjrGARCH_sstd_mu,gjrGARCH_sstd_sigma,gjrGARCH_sstd_skew,gjrGARCH_sstd_shape,apARCH_norm_mu,apARCH_norm_sigma,apARCH_std_mu,apARCH_std_sigma,apARCH_std_skew,apARCH_std_shape,apARCH_sstd_mu,apARCH_sstd_sigma,apARCH_sstd_skew,apARCH_sstd_shape
12/21/2014,2.800742644,-2.800742644,2.473685268,2.486541058,0.006611329,3.141416846,0.073959248,3.781427887,0,2.949346818,-0.094485266,3.741008349,0.930037605,3.010167907,-0.015890354,3.522730485,0.073449428,7.862235824,0,2.173053677,-0.258504631,7.826277378,0.890799545,2.178173159,0.020003836,3.144885918,0.073941825,3.78135262,0,2.949413171,-0.093897676,3.736494979,0.929905573,3.010149779,0.309540567,3.978171933,0.038109877,6.07987773,0,2.331355709,-0.27930602,6.462678363,0.884192958,2.315985565
12/22/2014,3.383962847,3.383962847,2.569619837,2.510282019,-0.223039491,3.152450198,-0.104465666,3.754952879,0,2.957061163,-0.196681798,3.673514409,0.929368008,3.017498717,-0.075505431,3.569167193,-0.126686589,7.743617546,0,2.186709884,-0.317079836,7.721525503,0.891252239,2.184370051,-0.166949631,3.14349231,-0.103924,3.754907521,0,2.957008889,-0.198518306,3.673291982,0.929270007,3.017473782,0.059193883,4.202938441,-0.097396609,6.09307276,0,2.347030454,-0.284700989,6.368555873,0.891579221,2.328337926
12/23/2014,0.806058097,0.806058097,2.597501233,2.538967667,-0.02587497,3.227231904,0.035924228,3.872104432,0,2.971806331,-0.125666287,3.820288026,0.930489798,3.03321113,-0.028841554,3.679759229,0.013132215,7.200412875,0,2.243486093,-0.284526648,8.026262232,0.890292811,2.191804591,-0.00984411,3.238196922,0.035770441,3.873639209,0,2.971725835,-0.125354623,3.81701302,0.930418544,3.033226016,-0.150463318,4.253476641,-0.010574875,6.231139853,0,2.367938409,-0.320423329,6.907750386,0.881820706,2.314825544
12/24/2014,3.664352965,-3.664352965,2.631115694,2.574744672,-0.102422974,3.1325633,-0.017191411,3.511849267,0,2.974177313,-0.148509654,3.469245437,0.930361705,3.036109727,-0.04930846,3.552257859,-0.040289733,5.890932785,0,2.299396105,-0.29533074,6.855505997,0.891098022,2.218028731,-0.06919125,3.147883666,-0.017354242,3.510766946,0,2.974322027,-0.149397034,3.464206114,0.930208871,3.036216131,-0.073410172,3.884519694,-0.044048618,5.32458941,0,2.380681804,-0.319545927,6.40216102,0.881585189,2.274904087
12/25/2014,1.099237945,-1.099237945,2.640022333,2.622685082,-0.2467452,3.200369582,-0.11799158,3.732776235,0,2.994173246,-0.196934793,3.645456572,0.928391978,3.058188264,-0.095579465,3.662302179,-0.131508199,5.783753056,0,2.384268153,-0.312647222,6.187419805,0.892080596,2.325321046,-0.185026534,3.194733254,-0.11888362,3.733136625,0,2.994381793,-0.20086793,3.646720205,0.928210026,3.058347439,0.210650782,4.329657061,-0.115436086,5.394055765,0,2.473358068,-0.303232042,6.002602427,0.893481553,2.391106349
12/26/2014,2.756574133,2.756574133,2.724749767,2.673926378,-0.178125008,3.107971883,-0.073711924,3.415779193,0,3.000909257,-0.18282687,3.331057773,0.928592575,3.064904087,-0.084240427,3.546595448,-0.088264422,5.034460943,0,2.428557571,-0.290286858,5.195383403,0.895280441,2.387012203,-0.133194684,3.107177432,-0.07475311,3.416887888,0,3.001284,-0.185824406,3.333374084,0.928330486,3.065289705,-0.014151275,4.549980546,-0.086280851,4.569078338,0,2.529345658,-0.292520495,4.883892286,0.889572073,2.461585054
12/27/2014,3.74733122,-3.74733122,2.562564858,2.672455014,-0.050278067,3.128319221,0.01743747,3.479008378,0,2.992103902,-0.144109183,3.416868827,0.927126731,3.061199329,-0.042927483,3.605664381,-0.003668873,5.533125549,0,2.356888196,-0.249540055,5.544662918,0.896080632,2.359609876,-0.030013043,3.140184658,0.017691097,3.476292027,0,2.992534547,-0.143757409,3.411066373,0.926848588,3.061660108,-0.120100169,4.501867789,-0.014638222,5.128994689,0,2.436821018,-0.281485401,5.378168673,0.892878482,2.410000217
12/28/2014,0.434688004,0.434688004,2.251176219,2.609140541,-0.244350283,3.205433592,-0.109898352,3.725051214,0,3.013379625,-0.19100081,3.613681773,0.922663608,3.085091715,-0.094361423,3.715375889,-0.121431021,5.645523646,0,2.42245821,-0.29100655,5.672735939,0.889327874,2.407934211,-0.183841231,3.194995931,-0.112648189,3.727431755,0,3.014127067,-0.197273548,3.617959009,0.92237869,3.085617047,0.088075294,4.594712612,-0.100937807,5.304755295,0,2.523432819,-0.253008266,5.488646319,0.889133648,2.494343128
12/29/2014,1.450711209,-1.450711209,2.166001762,2.54767432,-0.134519104,3.1108642,-0.04330086,3.383996063,0,3.017556319,-0.186501642,3.286433136,0.91972744,3.090191821,-0.069076581,3.563553087,-0.057186866,4.847631824,0,2.456408181,-0.294829706,4.933848914,0.886410867,2.437057686,-0.099639774,3.105275819,-0.044160166,3.386249814,0,3.018305588,-0.18854679,3.291033061,0.91940399,3.090887531,-0.049958322,3.624358713,-0.058907402,4.408886087,0,2.563699503,-0.28347324,4.537547774,0.887697388,2.536177238
12/30/2014,0.620147048,-0.620147048,2.087274996,2.470371197,-0.191998981,3.038103631,-0.07858117,3.185803531,0,3.020706106,-0.192122016,3.081146828,0.921383607,3.091719874,-0.089114362,3.488298537,-0.089536779,4.564783816,0,2.460741409,-0.293602169,4.58496081,0.889450088,2.440533948,-0.145871752,3.035277363,-0.080551915,3.188690781,0,3.021606131,-0.19645384,3.08679258,0.921031244,3.092526403,-0.05277679,3.497651748,-0.085890503,4.112715577,0,2.560857305,-0.270877818,4.161609815,0.890834495,2.533699901
