Date,Realized_Ret,SvOLHC,SvOLHC_n10,sGARCH_norm_mu,sGARCH_norm_sigma,sGARCH_std_mu,sGARCH_std_sigma,sGARCH_std_skew,sGARCH_std_shape,sGARCH_sstd_mu,sGARCH_sstd_sigma,sGARCH_sstd_skew,sGARCH_sstd_shape,eGARCH_norm_mu,eGARCH_norm_sigma,eGARCH_std_mu,eGARCH_std_sigma,eGARCH_std_skew,eGARCH_std_shape,eGARCH_sstd_mu,eGARCH_sstd_sigma,eGARCH_sstd_skew,eGARCH_sstd_shape,gjrGARCH_norm_mu,gjrGARCH_norm_sigma,gjrGARCH_std_mu,gjrGARCH_std_sigma,gjrGARCH_std_skew,gjrGARCH_std_shape,gjrGARCH_sstd_mu,gjrGARCH_sstd_sigma,gjrGARCH_sstd_skew,gjrGARCH_sstd_shape,apARCH_norm_mu,apARCH_norm_sigma,apARCH_std_mu,apARCH_std_sigma,apARCH_std_skew,apARCH_std_shape,apARCH_sstd_mu,apARCH_sstd_sigma,apARCH_sstd_skew,apARCH_sstd_shape
4/2/2012,0.747657779,0.713138166,0.614387037,0.071451667,0.738847124,0.102139047,0.740712284,0,4.499341751,0.069477788,0.733799911,0.907782101,4.701407566,0.011688834,0.715656797,0.059565124,0.696286376,0,4.963948926,0.010769069,0.697910162,0.830193208,5.421178959,0.031375675,0.667563628,0.070920487,0.665047018,0,4.955590074,0.029265721,0.65851193,0.865579058,5.382244254,0.017882603,0.723127564,0.061751462,0.73058704,0,5.080897316,0.017979517,0.739835476,0.846626761,5.693017364
4/3/2012,-0.399658775,0.727264138,0.629594207,0.047387978,0.744866764,0.082789429,0.743638434,0,4.518329706,0.046715254,0.739952061,0.906916723,4.730053125,-0.000804888,0.66266699,0.043278066,0.630244273,0,5.001339565,-0.006785368,0.628223497,0.829179754,5.489210943,0.015330724,0.651206609,0.053909666,0.643395063,0,5.003549817,0.009818859,0.639029702,0.86510983,5.463420765,-0.002319391,0.691758979,0.040227052,0.686633675,0,5.118440641,-0.005121226,0.694687456,0.84490902,5.749614083
4/4/2012,-1.025489548,0.770142309,0.649971951,0.125999752,0.729123882,0.147365406,0.729882292,0,4.538941103,0.122658686,0.723430624,0.910295843,4.744675134,0.042367179,0.710098762,0.098157361,0.686938231,0,5.054064362,0.054301974,0.687571686,0.834438978,5.53445588,0.070932922,0.657601389,0.111752603,0.653934081,0,5.053563468,0.077778605,0.646786264,0.869000375,5.506594647,0.062233919,0.721270675,0.108163031,0.733600962,0,5.121697688,0.06965315,0.746189213,0.848836501,5.718939754
4/5/2012,-0.062923664,0.757859675,0.669360108,0.163917535,0.800510297,0.178440517,0.809401932,0,4.611183092,0.158824871,0.795759398,0.907203782,4.895777232,0.060144524,0.878514008,0.121675726,0.883465784,0,5.233654681,0.080764356,0.891112086,0.832188711,5.716092227,0.095683586,0.792241278,0.137995462,0.816085037,0,5.235985549,0.10901807,0.80716126,0.86630331,5.705218968,0.092507941,0.880570999,0.138532832,0.925419219,0,5.320972444,0.110556731,0.940050686,0.847563327,5.930587001
4/9/2012,-1.142343411,0.772292869,0.687531369,0.097835517,0.767413703,0.122046592,0.774529916,0,4.601183183,0.093921403,0.761537601,0.907015745,4.878309277,0.025467054,0.867649072,0.075733443,0.879068806,0,5.230131241,0.031132551,0.889270837,0.830967701,5.710720582,0.04945377,0.765439154,0.088380431,0.78358718,0,5.226695689,0.051991755,0.77540189,0.86622451,5.6822722,0.040806638,0.838046865,0.083870234,0.888712725,0,5.252299853,0.047151122,0.901767274,0.848741062,5.872127416
4/10/2012,-1.722903545,0.809904187,0.707955035,0.167267578,0.844084451,0.178684785,0.858969432,0,4.68170993,0.160017493,0.837944806,0.905021466,5.035967639,0.060936013,1.038641545,0.121540281,1.074390253,0,5.389575808,0.083078076,1.08978326,0.831099999,5.87527508,0.097089524,0.8958178,0.137736597,0.934540571,0,5.402530765,0.110447747,0.923736188,0.865291733,5.874176455,0.09674207,0.998947077,0.142280971,1.082961172,0,5.435460889,0.115806223,1.098945022,0.84883453,6.064853226
4/11/2012,0.742129318,0.844615323,0.735443316,0.191467984,1.026912256,0.201331228,1.052684614,0,4.712111458,0.187356658,1.022380043,0.904174261,5.090120194,0.071244433,1.319101104,0.135946289,1.395922842,0,5.494928325,0.101134621,1.416102091,0.832730829,5.995923285,0.110173701,1.165473911,0.155195572,1.2406232,0,5.485418849,0.132328114,1.229405381,0.865290882,5.981079297,0.119959862,1.285933985,0.167612101,1.41994637,0,5.528980936,0.143775252,1.432325452,0.849016343,6.159320815
4/12/2012,1.36853254,0.814287681,0.755091828,0.041928103,0.987771406,0.072473682,1.010860026,0,4.762626585,0.035576438,0.98244374,0.901370683,5.18007536,-0.004627605,1.215889985,0.033755103,1.272317059,0,5.566257211,-0.012515608,1.289191253,0.831616047,6.056334888,0.009405807,1.104500416,0.043830093,1.1639457,0,5.569535409,0.00189921,1.153872066,0.863477769,6.057823754,-0.006373593,1.1895537,0.026856812,1.282778482,0,5.636149602,-0.011219738,1.28943415,0.847244587,6.269217303
4/13/2012,-1.255351296,0.788783725,0.767657947,0.008052514,1.037940248,0.042741832,1.056236634,0,4.904938787,0.001642398,1.034990339,0.902145223,5.341551077,-0.022724351,1.094528876,0.00913713,1.122900888,0,5.703314955,-0.039738218,1.131754376,0.82951762,6.193571082,-0.013691237,1.054094803,0.017308441,1.102940829,0,5.724915333,-0.02860793,1.096704293,0.862579834,6.229040074,-0.037967968,1.11131556,-0.0050682,1.174062453,0,5.793276307,-0.044593569,1.179123716,0.845968169,6.429315858
4/16/2012,-0.05036809,0.824108431,0.78223965,0.16994338,1.070698165,0.184119257,1.097922965,0,4.952618986,0.16590839,1.070202497,0.904230764,5.383643702,0.06250489,1.252868248,0.120221827,1.303725458,0,5.729652154,0.083502238,1.313495042,0.835072459,6.219877142,0.097166139,1.13734269,0.138211011,1.19804537,0,5.775662996,0.111868516,1.184606281,0.866161186,6.27580127,0.099792,1.254750019,0.142366258,1.35903826,0,5.794126063,0.116661686,1.370671133,0.845979443,6.365859316
